Ceiling type,Deck construction,Attic ventilation,Attic fan,Radiant barrier,Roofing material,Roof color,Insulation,R-value,Extended Construction Numbers,Look-Up Construction Number,Notes,Total Price
Ceiling below roof joists,,,,,Wood shakes,White,None,,18B-0 ww,18B-0,,6900.790922341586
Ceiling below roof joists,,,,,Wood shakes,White,Blanket or loose fill,R-11,18B-11 ww,18B-11,,6679.569347058034
Ceiling below roof joists,,,,,Wood shakes,White,Blanket or loose fill,R-13,18B-13 ww,18B-13,,5464.427723748747
Ceiling below roof joists,,,,,Wood shakes,White,Blanket or loose fill,R-15,18B-15 ww,18B-15,,5870.052110584027
Ceiling below roof joists,,,,,Wood shakes,White,Blanket or loose fill,R-19,18B-19 ww,18B-19,,6196.077748488473
Ceiling below roof joists,,,,,Wood shakes,White,Blanket or loose fill,R-21,18B-21 ww,18B-21,,7986.398727067977
Ceiling below roof joists,,,,,Wood shakes,White,Blanket or loose fill,R-30,18B-30 ww,18B-30,,6529.075699578147
Ceiling below roof joists,,,,,Wood shakes,White,Blanket or loose fill,R-38,18B-38 ww,18B-38,,6808.067811264198
Ceiling below roof joists,,,,,Wood shakes,White,Board insulation,R-2,18B-2 ww,18B-2,,7558.164686829166
Ceiling below roof joists,,,,,Wood shakes,White,Board insulation,R-3,18B-3 ww,18B-3,,6231.092290446516
Ceiling below roof joists,,,,,Wood shakes,White,Board insulation,R-4,18B-4 ww,18B-4,,6718.7891688327545
Ceiling below roof joists,,,,,Wood shakes,White,Board insulation,R-5,18B-5 ww,18B-5,,6929.257913907645
Ceiling below roof joists,,,,,Wood shakes,White,Board insulation,R-6,18B-6 ww,18B-6,,5739.609897248664
Ceiling below roof joists,,,,,Wood shakes,White,Board insulation,R-8,18B-8 ww,18B-8,,4800.264677398654
Ceiling below roof joists,,,,,Wood shakes,White,Board insulation,R-10,18B-10 ww,18B-10,,4525.478697568187
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,None,17A-0 ad,17A-0,,8839.681865798586
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-0,17A-2 ad,17A-2,,6967.544173455493
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-2,17A-2 ad,17A-2,,4823.28954437277
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-3,17A-3 ad,17A-3,,7612.494693111227
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-4,17A-4 ad,17A-4,,6512.451373847151
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-5,17A-5 ad,17A-5,,8892.94231081649
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-6,17A-6 ad,17A-6,,7638.503283118591
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-7,17A-7 ad,17A-7,,9321.846815429955
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-10,17A-10 ad,17A-10,,5847.851311101917
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-12,17A-12 ad,17A-12,,7859.9728187876335
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-15,17A-15 ad,17A-15,,7940.424426151462
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-17 or 18,17A-17 ad,17A-17,,9063.696567562914
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-20,17A-20 ad,17A-20,,5854.277846528826
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-21 to R-23,17A-22 ad,17A-22,,7575.735152249243
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-24 to R-26,17A-25 ad,17A-25,,6859.536314969321
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-27 to R-29,17A-28 ad,17A-28,,5713.6504386268225
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-30 to R-32,17A-31 ad,17A-31,,7113.545805747815
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Dark,,R-33 to R-35,17A-34 ad,17A-34,,5680.912173736254
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,None,17B-0 al,17B-0,,7034.384817805431
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-2,17B-2 al,17B-2,,6956.135742888229
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-3,17B-3 al,17B-3,,7725.18214241755
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-4,17B-4 al,17B-4,,5285.232277667392
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-5,17B-5 al,17B-5,,9476.947782626698
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-6,17B-6 al,17B-6,,7024.159125090049
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-7,17B-7 al,17B-7,,7245.291874357401
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-10,17B-10 al,17B-10,,8242.672238106074
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-12,17B-12 al,17B-12,,5418.633087243466
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-15,17B-15 al,17B-15,,8400.041524086337
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-17 or 18,17B-17 al,17B-17,,6969.542274707495
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-20,17B-20 al,17B-20,,6692.449081600397
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-21 to R-23,17B-22 al,17B-22,,6450.425304837932
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-24 to R-26,17B-25 al,17B-25,,6771.6354627687315
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-27 to R-29,17B-28 al,17B-28,,5081.917075368807
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-30 to R-32,17B-31 al,17B-31,,6672.528746473485
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,Light,,R-33 to R-35,17B-34 al,17B-34,,8740.00357122139
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,None,17B-0 aw,17B-0,,8101.120789365645
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-2,17B-2 aw,17B-2,,5637.158012844183
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-3,17B-3 aw,17B-3,,8138.517470555204
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-4,17B-4 aw,17B-4,,6806.651310201689
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-5,17B-5 aw,17B-5,,9691.737688886773
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-6,17B-6 aw,17B-6,,8436.047958237974
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-7,17B-7 aw,17B-7,,7137.796319127612
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-10,17B-10 aw,17B-10,,9859.023484776944
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-12,17B-12 aw,17B-12,,5903.89202995927
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-15,17B-15 aw,17B-15,,6773.125029155137
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-17 or 18,17B-17 aw,17B-17,,7502.444638513602
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-20,17B-20 aw,17B-20,,7004.829483875099
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-21 to R-23,17B-22 aw,17B-22,,8200.878214285516
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-24 to R-26,17B-25 aw,17B-25,,6727.7677460988225
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-27 to R-29,17B-28 aw,17B-28,,7658.883738277787
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-30 to R-32,17B-31 aw,17B-31,,6470.33383504692
Ceiling on exposed beams,"1.5"" wood",,,,Asphalt shingles,White,,R-33 to R-35,17B-34 aw,17B-34,,9527.045728957586
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,None,17A-0 zd,17A-0,,8741.851806963574
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-2,17A-2 zd,17A-2,,9221.617523662317
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-3,17A-3 zd,17A-3,,4674.161766822905
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-4,17A-4 zd,17A-4,,8307.353442465668
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-5,17A-5 zd,17A-5,,6397.252564683374
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-6,17A-6 zd,17A-6,,5935.929292011378
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-7,17A-7 zd,17A-7,,9834.037113571074
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-10,17A-10 zd,17A-10,,5357.5954712213515
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-12,17A-12 zd,17A-12,,5895.518275049313
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-15,17A-15 zd,17A-15,,8026.041218129507
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-17 or 18,17A-17 zd,17A-17,,8777.122278222132
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-20,17A-20 zd,17A-20,,6810.547465060979
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-21 to R-23,17A-22 zd,17A-22,,5544.8735197604
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-24 to R-26,17A-25 zd,17A-25,,8568.736603296691
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-27 to R-29,17A-28 zd,17A-28,,8450.578062615577
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-30 to R-32,17A-31 zd,17A-31,,6391.534695662746
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Dark,,R-33 to R-35,17A-34 zd,17A-34,,5991.950507276893
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,None,17B-0 zl,17B-0,,6272.265101177278
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-2,17B-2 zl,17B-2,,7739.946706686294
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-3,17B-3 zl,17B-3,,9012.296929335931
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-4,17B-4 zl,17B-4,,8002.815320259566
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-5,17B-5 zl,17B-5,,8222.613632239436
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-6,17B-6 zl,17B-6,,8409.876374766114
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-7,17B-7 zl,17B-7,,6390.644826167207
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-10,17B-10 zl,17B-10,,5714.83449162255
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-12,17B-12 zl,17B-12,,7760.215154695687
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-15,17B-15 zl,17B-15,,7345.220996690928
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-17 or 18,17B-17 zl,17B-17,,8302.325332642471
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-20,17B-20 zl,17B-20,,6629.147157614812
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-21 to R-23,17B-22 zl,17B-22,,9932.241489760641
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-24 to R-26,17B-25 zl,17B-25,,5820.916888000545
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-27 to R-29,17B-28 zl,17B-28,,6556.761437566458
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-30 to R-32,17B-31 zl,17B-31,,8089.696315887708
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,Light,,R-33 to R-35,17B-34 zl,17B-34,,6420.227593732171
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,None,17C-0 zw,17C-0,,8595.527268434775
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-2,17C-2 zw,17C-2,,5762.764890503338
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-3,17C-3 zw,17C-3,,6726.390948201399
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-4,17C-4 zw,17C-4,,5175.248972246852
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-5,17C-5 zw,17C-5,,6326.920631454006
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-6,17C-6 zw,17C-6,,7336.307144317676
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-7,17C-7 zw,17C-7,,8183.158658453293
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-10,17C-10 zw,17C-10,,9055.46599872848
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-12,17C-12 zw,17C-12,,7170.766258463798
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-15,17C-15 zw,17C-15,,9344.36942031556
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-17 or 18,17C-17 zw,17C-17,,5673.2804474960485
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-20,17C-20 zw,17C-20,,5314.442928611421
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-21 to R-23,17C-22 zw,17C-22,,8224.002124684368
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-24 to R-26,17C-25 zw,17C-25,,7019.715960669891
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-27 to R-29,17C-28 zw,17C-28,,8692.295057082218
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-30 to R-32,17C-31 zw,17C-31,,5344.980748198574
Ceiling on exposed beams,"1.5"" wood",,,,Membrane,White,,R-33 to R-35,17C-34 zw,17C-34,,7965.212324223243
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,None,17A-0 md,17A-0,,9196.434803048103
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-2,17A-2 md,17A-2,,7132.763476938012
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-3,17A-3 md,17A-3,,8027.300924529934
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-4,17A-4 md,17A-4,,5788.882012836941
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-5,17A-5 md,17A-5,,8977.696074343548
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-6,17A-6 md,17A-6,,7716.4884025324645
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-7,17A-7 md,17A-7,,8507.657641730566
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-10,17A-10 md,17A-10,,6986.075754378265
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-12,17A-12 md,17A-12,,7943.136951661465
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-15,17A-15 md,17A-15,,7271.730191802407
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-17 or 18,17A-17 md,17A-17,,6187.915344936278
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-20,17A-20 md,17A-20,,7299.212087725182
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-21 to R-23,17A-22 md,17A-22,,9355.755936091395
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-24 to R-26,17A-25 md,17A-25,,9004.160316564472
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-27 to R-29,17A-28 md,17A-28,,5578.285641664186
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-30 to R-32,17A-31 md,17A-31,,8619.856713708192
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Dark,,R-33 to R-35,17A-34 md,17A-34,,8648.263456795225
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,None,17B-0 ml,17B-0,,7196.2277162920245
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-2,17B-2 ml,17B-2,,8041.011295896757
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-3,17B-3 ml,17B-3,,8989.72784421745
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-4,17B-4 ml,17B-4,,4931.183399571248
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-5,17B-5 ml,17B-5,,9314.293580920492
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-6,17B-6 ml,17B-6,,7992.411076209961
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-7,17B-7 ml,17B-7,,8253.427417897605
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-10,17B-10 ml,17B-10,,8359.229278550352
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-12,17B-12 ml,17B-12,,7148.880378289552
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-15,17B-15 ml,17B-15,,6480.505921526133
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-17 or 18,17B-17 ml,17B-17,,9126.61826798258
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-20,17B-20 ml,17B-20,,7268.171809452758
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-21 to R-23,17B-22 ml,17B-22,,9727.085817781524
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-24 to R-26,17B-25 ml,17B-25,,4833.513208130361
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-27 to R-29,17B-28 ml,17B-28,,7736.2158643852545
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-30 to R-32,17B-31 ml,17B-31,,6585.15988612922
Ceiling on exposed beams,"1.5"" wood",,,,Metal,Light,,R-33 to R-35,17B-34 ml,17B-34,,7996.433085041757
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,None,17C-0 mw,17C-0,,7147.7446877556495
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-2,17C-2 mw,17C-2,,5127.545382162738
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-3,17C-3 mw,17C-3,,6053.052077896717
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-4,17C-4 mw,17C-4,,9383.76281963188
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-5,17C-5 mw,17C-5,,9713.25185818534
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-6,17C-6 mw,17C-6,,7081.485598721685
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-7,17C-7 mw,17C-7,,6623.242091284273
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-10,17C-10 mw,17C-10,,8993.047306272489
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-12,17C-12 mw,17C-12,,8073.963890716225
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-15,17C-15 mw,17C-15,,6305.339017840612
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-17 or 18,17C-17 mw,17C-17,,7223.198834941675
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-20,17C-20 mw,17C-20,,6376.466735356049
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-21 to R-23,17C-22 mw,17C-22,,8888.221849601088
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-24 to R-26,17C-25 mw,17C-25,,8359.191925760993
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-27 to R-29,17C-28 mw,17C-28,,7398.092993295055
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-30 to R-32,17C-31 mw,17C-31,,6838.6064625064755
Ceiling on exposed beams,"1.5"" wood",,,,Metal,White,,R-33 to R-35,17C-34 mw,17C-34,,8232.41541866924
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,None,17B-0 xd,17B-0,,6931.849748306729
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-2,17B-2 xd,17B-2,,9590.682248505602
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-3,17B-3 xd,17B-3,,6854.551902900402
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-4,17B-4 xd,17B-4,,7475.3762072240315
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-5,17B-5 xd,17B-5,,5967.486893684917
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-6,17B-6 xd,17B-6,,6695.677586879035
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-7,17B-7 xd,17B-7,,8181.714266921207
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-10,17B-10 xd,17B-10,,5205.429382562992
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-12,17B-12 xd,17B-12,,6542.203676904192
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-15,17B-15 xd,17B-15,,9363.246922372567
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-17 or 18,17B-17 xd,17B-17,,4912.917881586747
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-20,17B-20 xd,17B-20,,8227.947757908289
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-21 to R-23,17B-22 xd,17B-22,,7706.769910550677
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-24 to R-26,17B-25 xd,17B-25,,8698.456280497614
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-27 to R-29,17B-28 xd,17B-28,,7795.552827232256
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-30 to R-32,17B-31 xd,17B-31,,7013.365850840539
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Dark,,R-33 to R-35,17B-34 xd,17B-34,,6946.6533857920285
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,None,17B-0 xl,17B-0,,6794.557272438071
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-2,17B-2 xl,17B-2,,6383.997119867047
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-3,17B-3 xl,17B-3,,5891.456915978728
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-4,17B-4 xl,17B-4,,6274.005473506833
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-5,17B-5 xl,17B-5,,5760.821492887437
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-6,17B-6 xl,17B-6,,8698.381710570806
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-7,17B-7 xl,17B-7,,4728.791312374739
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-10,17B-10 xl,17B-10,,8653.648521047704
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-12,17B-12 xl,17B-12,,8007.788528040272
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-15,17B-15 xl,17B-15,,4251.987463318549
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-17 or 18,17B-17 xl,17B-17,,7498.759129261188
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-20,17B-20 xl,17B-20,,7146.426679188919
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-21 to R-23,17B-22 xl,17B-22,,8859.573650872811
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-24 to R-26,17B-25 xl,17B-25,,6693.087880948036
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-27 to R-29,17B-28 xl,17B-28,,8328.383878528217
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-30 to R-32,17B-31 xl,17B-31,,8608.0615286933
Ceiling on exposed beams,"1.5"" wood",,,,Tar and gravel,Light,,R-33 to R-35,17B-34 xl,17B-34,,8553.959224605513
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,None,17A-0 td,17A-0,,6081.427703011476
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-2,17A-2 td,17A-2,,7500.101179355829
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-3,17A-3 td,17A-3,,6738.350308975331
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-4,17A-4 td,17A-4,,9324.368202719746
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-5,17A-5 td,17A-5,,7521.426202290853
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-6,17A-6 td,17A-6,,7709.657971954305
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-7,17A-7 td,17A-7,,7082.7008971284495
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-10,17A-10 td,17A-10,,6880.0062451360845
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-12,17A-12 td,17A-12,,6947.454512021529
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-15,17A-15 td,17A-15,,8378.203273926192
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-17 or 18,17A-17 td,17A-17,,6406.345368438649
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-20,17A-20 td,17A-20,,8158.906852707573
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-21 to R-23,17A-22 td,17A-22,,5353.4958722280535
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-24 to R-26,17A-25 td,17A-25,,8993.788636055666
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-27 to R-29,17A-28 td,17A-28,,8699.019882713908
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-30 to R-32,17A-31 td,17A-31,,8034.304012286182
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Dark,,R-33 to R-35,17A-34 td,17A-34,,9656.65276881773
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,None,17C-0 wl,17C-0,,5350.621900297155
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-2,17C-2 wl,17C-2,,7294.573407722488
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-3,17C-3 wl,17C-3,,6459.882007746917
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-4,17C-4 wl,17C-4,,9276.767368306793
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-5,17C-5 wl,17C-5,,8124.636167807493
Ceiling on exposed beams,"1.5"" wood",,,,Tile,Light,,R-6,17C-6 wl,17C-6,,8197.68367868014
